"","beta","lnlike_t1","lnlike_t2","lnlike_t3","lnlike_t4"
"51",0.00051,-352384.809607112,-450390.090521387,-670021.364931061,-5692323.59189162
"52",0.00052,-416484.221786849,-449773.140745497,-669599.589427148,-5685350.03632871
"53",0.00053,-486524.949014301,-449160.049013208,-669180.514206269,-5678407.58435951
"54",0.00054,-562257.929800475,-448550.788551425,-668763.471221393,-5671586.4139615
"55",0.00055,-643308.848221251,-447945.391771611,-668348.953114101,-5664783.15126006
"56",0.00056,-729183.663352147,-447343.567464647,-667936.599803494,-5658045.62696748
"57",0.00057,-819281.808893553,-446745.722209528,-667526.533787844,-5651393.52514775
"58",0.00058,-912914.349853393,-446151.212907714,-667118.537452028,-5644795.47911339
"59",0.00059,-1009328.46933209,-445560.404136597,-666712.846476093,-5638209.96297124
"60",6e-04,-1107734.28042715,-444972.949575648,-666308.992394118,-5631696.70766551
"61",0.00061,-1207332.50276231,-444389.114113364,-665907.54429531,-5625245.93684077
"62",0.00062,-1307342.45977246,-443808.571810724,-665508.072306748,-5618855.67042092
"63",0.00063,-1407024.83458577,-443231.484174321,-665110.664663357,-5612528.66108623
"64",0.00064,-1505702.05457515,-442657.658819895,-664715.323645174,-5606205.22045943
"65",0.00065,-1602772.8433316,-442087.007662914,-664321.97136471,-5599956.43034287
"66",0.00066,-1697721.03336088,-441519.472436995,-663930.383344256,-5593764.93973857
"67",0.00067,-1790119.60722405,-440955.140276675,-663540.961054925,-5587625.16151534
"68",0.00068,-1879630.36368738,-440393.684327067,-663153.360820062,-5581510.20223652
"69",0.00069,-1966002.02818878,-439835.564192241,-662767.748532564,-5575461.23199159
"70",7e-04,-2049058.35987046,-439280.473798771,-662383.957856764,-5569393.6119927
"71",0.00071,-2128695.50936501,-438728.233803792,-662002.024672966,-5563451.35627066
"72",0.00072,-2204869.0686385,-438178.921003143,-661621.833706087,-5557504.87897733
"73",0.00073,-2277586.38718127,-437632.690728289,-661243.534297872,-5551590.75657442
"74",0.00074,-2346896.05193959,-437089.08659103,-660866.95796524,-5545737.38979497
"75",0.00075,-2412880.45435648,-436548.407082942,-660492.235549088,-5539917.4995845
"76",0.00076,-2475645.58689232,-436010.47608843,-660119.25993444,-5534136.62132535
"77",0.00077,-2535316.85605043,-435475.246071519,-659747.878472544,-5528383.51985394
"78",0.00078,-2592032.45695959,-434942.641451336,-659378.261847711,-5522689.46578498
"79",0.00079,-2645937.28716235,-434412.801762295,-659010.267890898,-5517017.16033584
"80",8e-04,-2697180.04412753,-433885.571983492,-658643.924195225,-5511380.89991601
"81",0.00081,-2745910.22460633,-433360.920521517,-658279.299400205,-5505780.85234587
"82",0.00082,-2792274.66329889,-432838.901020393,-657916.158419428,-5500224.15433623
"83",0.00083,-2836417.34023825,-432319.302971382,-657554.686070179,-5494666.97937086
"84",0.00084,-2878475.5321347,-431802.289351538,-657194.874772831,-5489207.48107452
"85",0.00085,-2918581.60283621,-431287.574362299,-656836.630234438,-5483739.01523403
"86",0.00086,-2956860.77531653,-430775.507581164,-656479.786271453,-5478288.86748988
"87",0.00087,-2993430.80982177,-430265.648022541,-656124.561598686,-5472914.85406219
"88",0.00088,-3028403.00229828,-429758.27818083,-655770.90287101,-5467545.13703754
"89",0.00089,-3061881.1181634,-429253.142809113,-655418.600348849,-5462207.12676383
"90",9e-04,-3093961.48062283,-428750.457998431,-655067.798749667,-5456877.95731693
"91",0.00091,-3124734.69540343,-428249.963336426,-654718.639205324,-5451604.58236916
"92",0.00092,-3154284.1550127,-427751.7015003,-654370.786344834,-5446378.75076116
"93",0.00093,-3182687.82702376,-427255.67442774,-654024.393797302,-5441157.48410659
"94",0.00094,-3210017.11231771,-426761.961649587,-653679.43280598,-5435940.54592275
"95",0.00095,-3236338.57569506,-426270.354514703,-653335.748140464,-5430791.05982201
"96",0.00096,-3261713.76169395,-425780.868068133,-652993.659402084,-5425635.25607925
"97",0.00097,-3286199.24190816,-425293.52047545,-652652.860632375,-5420526.71081079
"98",0.00098,-3309847.86256722,-424808.132347837,-652313.241148082,-5415444.14159261
"99",0.00099,-3332708.1966364,-424325.141071424,-651975.164023173,-5410383.13434168
"100",0.001,-3354824.51539126,-423844.003564222,-651638.337221634,-5405348.27730351
"101",0.00101,-3376239.14440852,-423365.042816833,-651302.789683667,-5400356.36795017
"102",0.00102,-3396990.14068803,-422887.946980155,-650968.736422668,-5395375.62125915
"103",0.00103,-3417112.66395437,-422412.92577519,-650635.781859864,-5390411.64942835
"104",0.00104,-3436640.50107279,-421939.794315796,-650304.047901975,-5385473.71076822
"105",0.00105,-3455603.2901382,-421468.685956155,-649973.825370546,-5380566.09223271
"106",0.00106,-3474030.4119986,-420999.335360419,-649644.661816058,-5375676.29928339
"107",0.00107,-3491946.73469682,-420531.963617087,-649316.833035599,-5370824.79256494
"108",0.00108,-3509377.82622119,-420066.469807158,-648990.185084817,-5365994.65317702
