"sampno","beta","lnlike"
81,0.000419950715630203,-3661.80322130683
82,0.000419950715630203,-3661.80322130683
83,0.000419950715630203,-3661.80322130683
84,0.000419950715630203,-3661.80322130683
85,0.000419950715630203,-3661.80322130683
86,0.000419950715630203,-3661.80322130683
87,0.000419950715630203,-3661.80322130683
88,0.000419950715630203,-3661.80322130683
89,0.000419950715630203,-3661.80322130683
90,0.000419950715630203,-3661.80322130683
91,0.000419950715630203,-3661.80322130683
92,0.000419950715630203,-3661.80322130683
93,0.000419950715630203,-3661.80322130683
94,0.000419950715630203,-3661.80322130683
95,0.000419950715630203,-3661.80322130683
96,0.000419950715630203,-3661.80322130683
97,0.000412557505546149,-3485.64277761282
98,0.000412557505546149,-3485.64277761282
99,0.000412557505546149,-3485.64277761282
100,0.000412557505546149,-3485.64277761282
101,0.000412557505546149,-3485.64277761282
102,0.000412557505546149,-3485.64277761282
103,0.000412557505546149,-3485.64277761282
104,0.000412557505546149,-3485.64277761282
105,0.000412557505546149,-3485.64277761282
106,0.000412557505546149,-3485.64277761282
107,0.000412557505546149,-3485.64277761282
108,0.000412557505546149,-3485.64277761282
109,0.000412557505546149,-3485.64277761282
110,0.000412557505546149,-3485.64277761282
111,0.000412557505546149,-3485.64277761282
112,0.000412557505546149,-3485.64277761282
113,0.000412557505546149,-3485.64277761282
114,0.000412557505546149,-3485.64277761282
115,0.000412557505546149,-3485.64277761282
116,0.000412557505546149,-3485.64277761282
117,0.000412557505546149,-3485.64277761282
118,0.000412557505546149,-3485.64277761282
119,0.000412557505546149,-3485.64277761282
120,0.000412557505546149,-3485.64277761282
121,0.000412557505546149,-3485.64277761282
122,0.000412557505546149,-3485.64277761282
123,0.000412557505546149,-3485.64277761282
124,0.000412557505546149,-3485.64277761282
125,0.000412557505546149,-3485.64277761282
126,0.000412557505546149,-3485.64277761282
127,0.000412557505546149,-3485.64277761282
128,0.000412557505546149,-3485.64277761282
129,0.000412557505546149,-3485.64277761282
130,0.000412557505546149,-3485.64277761282
131,0.000412557505546149,-3485.64277761282
132,0.000412557505546149,-3485.64277761282
133,0.000412557505546149,-3485.64277761282
134,0.000412557505546149,-3485.64277761282
135,0.000412557505546149,-3485.64277761282
136,0.000412557505546149,-3485.64277761282
137,0.000412557505546149,-3485.64277761282
138,0.000412557505546149,-3485.64277761282
139,0.000412557505546149,-3485.64277761282
140,0.000412557505546149,-3485.64277761282
141,0.000412557505546149,-3485.64277761282
142,0.000412557505546149,-3485.64277761282
143,0.000412557505546149,-3485.64277761282
144,0.000412557505546149,-3485.64277761282
145,0.000412557505546149,-3485.64277761282
146,0.000412557505546149,-3485.64277761282
147,0.000412557505546149,-3485.64277761282
148,0.000412557505546149,-3485.64277761282
149,0.000412557505546149,-3485.64277761282
150,0.000412557505546149,-3485.64277761282
151,0.000412557505546149,-3485.64277761282
152,0.000412557505546149,-3485.64277761282
153,0.000412557505546149,-3485.64277761282
154,0.000412557505546149,-3485.64277761282
155,0.000412557505546149,-3485.64277761282
156,0.000412557505546149,-3485.64277761282
157,0.000412557505546149,-3485.64277761282
158,0.000412557505546149,-3485.64277761282
159,0.000412557505546149,-3485.64277761282
160,0.000412557505546149,-3485.64277761282
161,0.000412557505546149,-3485.64277761282
162,0.000412557505546149,-3485.64277761282
163,0.000412557505546149,-3485.64277761282
164,0.000412557505546149,-3485.64277761282
165,0.000412557505546149,-3485.64277761282
166,0.000412557505546149,-3485.64277761282
167,0.000412557505546149,-3485.64277761282
168,0.000412557505546149,-3485.64277761282
169,0.000412557505546149,-3485.64277761282
170,0.000412557505546149,-3485.64277761282
171,0.000412557505546149,-3485.64277761282
172,0.000412557505546149,-3485.64277761282
173,0.000412557505546149,-3485.64277761282
174,0.000412557505546149,-3485.64277761282
175,0.000412557505546149,-3485.64277761282
176,0.000412557505546149,-3485.64277761282
177,0.000412557505546149,-3485.64277761282
178,0.000412557505546149,-3485.64277761282
179,0.000412557505546149,-3485.64277761282
180,0.000412557505546149,-3485.64277761282
181,0.000412557505546149,-3485.64277761282
182,0.000412557505546149,-3485.64277761282
183,0.000412557505546149,-3485.64277761282
184,0.000412557505546149,-3485.64277761282
185,0.000412557505546149,-3485.64277761282
186,0.000412557505546149,-3485.64277761282
187,0.000412557505546149,-3485.64277761282
188,0.000412557505546149,-3485.64277761282
189,0.000412557505546149,-3485.64277761282
190,0.000412557505546149,-3485.64277761282
191,0.000412557505546149,-3485.64277761282
