date,pf_d1_1,pf_d1_2,pf_d1_3,pf_d1_4,pf_d1_5,pf_d1_6,pf_d1_7,pf_d1_8,pf_d1_9,pf_d1_10,pf_d2_1,pf_d2_2,pf_d2_3,pf_d2_4,pf_d2_5,pf_d2_6,pf_d2_7,pf_d2_8,pf_d2_9,pf_d2_10,pf_B_1,pf_B_2,pf_B_3,pf_B_4,pf_B_5,pf_B_6,pf_B_7,pf_B_8,pf_B_9,pf_B_10,mo_d1_1,mo_d1_2,mo_d1_3,mo_d1_4,mo_d1_5,mo_d1_6,mo_d1_7,mo_d1_8,mo_d1_9,mo_d1_10,mo_d2_1,mo_d2_2,mo_d2_3,mo_d2_4,mo_d2_5,mo_d2_6,mo_d2_7,mo_d2_8,mo_d2_9,mo_d2_10,mo_B_1,mo_B_2,mo_B_3,mo_B_4,mo_B_5,mo_B_6,mo_B_7,mo_B_8,mo_B_9,mo_B_10,az_d1_1,az_d1_2,az_d1_3,az_d1_4,az_d1_5,az_d1_6,az_d1_7,az_d1_8,az_d1_9,az_d1_10,az_d2_1,az_d2_2,az_d2_3,az_d2_4,az_d2_5,az_d2_6,az_d2_7,az_d2_8,az_d2_9,az_d2_10,ja_d1_1,ja_d1_2,ja_d1_3,ja_d1_4,ja_d1_5,ja_d1_6,ja_d1_7,ja_d1_8,ja_d1_9,ja_d1_10,ja_d2_1,ja_d2_2,ja_d2_3,ja_d2_4,ja_d2_5,ja_d2_6,ja_d2_7,ja_d2_8,ja_d2_9,ja_d2_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2021,0,0.000955725,0.0107844,0.011231745,0.013846586,0.018618671,0.013438738,0.001733096,0.003371817,0.009543739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11356E-07,5.59403E-05,0.000569303,0.000490049,0.00036081,0.000328496,2.90231E-05,2.61381E-06,1.24187E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37893E-07,1.95455E-06,8.3377E-05,3.55385E-06,0,6.20933E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9091E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/2021,0,0.001671624,0.016357399,0.016426523,0.021026627,0.029729908,0.022899981,0.007914433,0.032225687,0.192091799,0,2.76132E-05,0.002098881,0.002501223,0.002230779,0.002003025,0.001047452,2.54693E-05,4.70486E-05,0.000167652,0,0,0,0,0,0,0,0,0,0,0,4.60221E-06,0.000241662,0.001133628,0.000931328,0.000725139,0.00064378,0.000217377,0.000878241,0.003675923,0,0,8.95045E-07,5.8831E-06,3.75157E-06,4.69092E-06,1.82245E-06,5.33078E-06,2.22174E-05,0.000130396,0,0,0,0,0,0,0,0,0,0,0,0,2.68514E-06,1.35764E-06,2.81368E-06,3.12728E-06,8.56551E-05,3.55385E-06,0,6.20933E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9091E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2021,0,0.001671624,0.016357399,0.016426523,0.021026627,0.029729908,0.022899981,0.007914433,0.032225687,0.192091799,0,2.76132E-05,0.002098881,0.002501223,0.002230779,0.002003025,0.001047452,2.54693E-05,4.70486E-05,0.000167652,0,0,0,0,0,0,0,0,0,0,0,4.60221E-06,0.000241662,0.001133628,0.000931328,0.000725139,0.00064378,0.000217377,0.000878241,0.003675923,0,0,8.95045E-07,5.8831E-06,3.75157E-06,4.69092E-06,1.82245E-06,5.33078E-06,2.22174E-05,0.000130396,0,0,0,0,0,0,0,0,0,0,0,0,2.68514E-06,1.35764E-06,2.81368E-06,3.12728E-06,8.56551E-05,3.55385E-06,0,6.20933E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9091E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/2021,0,0.001671624,0.016357399,0.016426523,0.021026627,0.029729908,0.022899981,0.007914433,0.032225687,0.192091799,0,2.76132E-05,0.002098881,0.002501223,0.002230779,0.002003025,0.001047452,2.54693E-05,4.70486E-05,0.000167652,0,0,0,0,0,0,0,0,0,0,0,4.60221E-06,0.000241662,0.001133628,0.000931328,0.000725139,0.00064378,0.000217377,0.000878241,0.003675923,0,0,8.95045E-07,5.8831E-06,3.75157E-06,4.69092E-06,1.82245E-06,5.33078E-06,2.22174E-05,0.000130396,0,0,0,0,0,0,0,0,0,0,0,0,2.68514E-06,1.35764E-06,2.81368E-06,3.12728E-06,8.56551E-05,3.55385E-06,0,6.20933E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9091E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/2021,0,0.001671624,0.016357399,0.016426523,0.021026627,0.029729908,0.022899981,0.007914433,0.032225687,0.192091799,0,2.76132E-05,0.002098881,0.002501223,0.002230779,0.002003025,0.001047452,2.54693E-05,4.70486E-05,0.000167652,0,0,0,0,0,0,0,0,0,0,0,4.60221E-06,0.000241662,0.001133628,0.000931328,0.000725139,0.00064378,0.000217377,0.000878241,0.003675923,0,0,8.95045E-07,5.8831E-06,3.75157E-06,4.69092E-06,1.82245E-06,5.33078E-06,2.22174E-05,0.000130396,0,0,0,0,0,0,0,0,0,0,0,0,2.68514E-06,1.35764E-06,2.81368E-06,3.12728E-06,8.56551E-05,3.55385E-06,0,6.20933E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9091E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/2021,0,0.001671624,0.016357399,0.016426523,0.021026627,0.029729908,0.022899981,0.007914433,0.032225687,0.192091799,0,2.76132E-05,0.002098881,0.002501223,0.002230779,0.002003025,0.001047452,2.54693E-05,4.70486E-05,0.000167652,0,0,0,0,0,0,0,0,0,0,0,4.60221E-06,0.000241662,0.001133628,0.000931328,0.000725139,0.00064378,0.000217377,0.000878241,0.003675923,0,0,8.95045E-07,5.8831E-06,3.75157E-06,4.69092E-06,1.82245E-06,5.33078E-06,2.22174E-05,0.000130396,0,0,0,0,0,0,0,0,0,0,0,0,2.68514E-06,1.35764E-06,2.81368E-06,3.12728E-06,8.56551E-05,3.55385E-06,0,6.20933E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9091E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/30/2021,0,0.001671624,0.016357399,0.016426523,0.021026627,0.029729908,0.022899981,0.007914433,0.032225687,0.192091799,0,2.76132E-05,0.002098881,0.002501223,0.002230779,0.002003025,0.001047452,2.54693E-05,4.70486E-05,0.000167652,0,0,0,0,0,0,0,0,0,0,0,4.60221E-06,0.000241662,0.001133628,0.000931328,0.000725139,0.00064378,0.000217377,0.000878241,0.003675923,0,0,8.95045E-07,5.8831E-06,3.75157E-06,4.69092E-06,1.82245E-06,5.33078E-06,2.22174E-05,0.000130396,0,0,0,0,0,0,0,0,0,0,0,0,2.68514E-06,1.35764E-06,2.81368E-06,3.12728E-06,8.56551E-05,3.55385E-06,0,6.20933E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9091E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/2021,0,0.001671624,0.016357399,0.016426523,0.021026627,0.029729908,0.022899981,0.007914433,0.032225687,0.192091799,0,2.76132E-05,0.002098881,0.002501223,0.002230779,0.002003025,0.001047452,2.54693E-05,4.70486E-05,0.000167652,0,0,0,0,0,0,0,0,0,0,0,4.60221E-06,0.000241662,0.001133628,0.000931328,0.000725139,0.00064378,0.000217377,0.000878241,0.003675923,0,0,8.95045E-07,5.8831E-06,3.75157E-06,4.69092E-06,1.82245E-06,5.33078E-06,2.22174E-05,0.000130396,0,0,0,0,0,0,0,0,0,0,0,0,2.68514E-06,1.35764E-06,2.81368E-06,3.12728E-06,8.56551E-05,3.55385E-06,0,6.20933E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9091E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2021,0,0.002101164,0.019898645,0.019808854,0.025215727,0.035799183,0.028303542,0.012507197,0.117196791,0.443935969,0,0.000198406,0.005274501,0.006052353,0.006270285,0.006790114,0.004410326,0.000157554,0.000158136,0.000608514,0,0,0,0,0,0,0,0,0,0,0,1.07385E-05,0.000425594,0.002164981,0.001863594,0.001375223,0.001162722,0.000386778,0.001514704,0.005836769,0,5.11356E-07,2.68514E-06,8.59838E-06,8.90999E-06,9.77276E-06,5.92296E-06,8.29233E-06,4.70486E-05,0.000254582,0,0,0,0,0,0,0,0,0,0,0,0,2.68514E-06,2.26273E-06,5.62736E-06,6.25457E-06,0.000134861,4.73847E-06,1.30691E-06,6.20933E-06,0,0,0,0,0,0,0,0,0,1.24187E-05,0,0,0,4.52546E-07,4.68947E-07,7.81821E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/2021,0,0.002101164,0.019898645,0.019808854,0.025215727,0.035799183,0.028303542,0.012507197,0.117196791,0.443935969,0,0.000198406,0.005274501,0.006052353,0.006270285,0.006790114,0.004410326,0.000157554,0.000158136,0.000608514,0,0,0,0,0,0,0,0,0,0,0,1.07385E-05,0.000425594,0.002164981,0.001863594,0.001375223,0.001162722,0.000386778,0.001514704,0.005836769,0,5.11356E-07,2.68514E-06,8.59838E-06,8.90999E-06,9.77276E-06,5.92296E-06,8.29233E-06,4.70486E-05,0.000254582,0,0,0,0,0,0,0,0,0,0,0,0,2.68514E-06,2.26273E-06,5.62736E-06,6.25457E-06,0.000134861,4.73847E-06,1.30691E-06,6.20933E-06,0,0,0,0,0,0,0,0,0,1.24187E-05,0,0,0,4.52546E-07,4.68947E-07,7.81821E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
