sample,epiweek,value,origin_date,scenario_id,target_end_date,horizon,location,target_variable
100,47,229598.33314780876,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,48,311805.5221030993,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,49,373484.41219752945,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,50,386924.733792691,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,51,348179.8809405231,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,52,279308.26096777484,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,1,207374.84501598796,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,2,148097.31010452003,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,3,105187.44171150259,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,4,76258.04108173269,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,5,57474.68190263863,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,6,45545.57389462943,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,7,38145.31459383498,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,8,33768.22196820646,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,9,31476.99101897479,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,10,30692.96204987494,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,11,31048.402871464365,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,12,32287.01062165659,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,13,34196.876566565326,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,14,36566.359623497934,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,15,39158.080839150396,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,16,41705.72744073763,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,17,43936.91713564163,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,18,45598.07869732581,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,19,46495.903850984294,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
100,20,46531.69909433019,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,21,3019.109005792201,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,22,2030.4122876115564,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,23,1358.3636842731198,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,24,906.3634054340159,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,25,605.296971847037,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,26,406.069845506307,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,27,274.76970149079034,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,28,188.3591799755449,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,29,131.42334663943282,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,30,93.78094440738393,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,31,68.77678867395959,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,32,52.094603956828735,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,33,40.952564810795245,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,34,33.57049571287856,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,35,28.824731125957047,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,36,26.030755707956573,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,37,24.81314501362361,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,38,24.854136185919778,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,39,25.692951988164495,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,40,27.383633825751076,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,41,30.073601240213755,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,42,34.00101737805518,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,43,39.52489095381334,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,44,47.167123292872645,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,45,57.67343917799245,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,46,72.0986182626414,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,47,91.92228350212272,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,48,119.20125374502452,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,49,156.7619464344003,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,50,208.42979893561872,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,51,279.27990031337384,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,52,375.87164400237435,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,1,506.3849956055654,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,2,680.5383368592551,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,3,909.2455766588301,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,4,1203.7022008790582,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,5,1573.825445108468,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,6,2025.9941417162768,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,7,2560.229742004044,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
11,8,3167.2448905265333,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
