date,pf_d1_1,pf_d1_2,pf_d1_3,pf_d1_4,pf_d1_5,pf_d1_6,pf_d1_7,pf_d1_8,pf_d1_9,pf_d1_10,pf_d2_1,pf_d2_2,pf_d2_3,pf_d2_4,pf_d2_5,pf_d2_6,pf_d2_7,pf_d2_8,pf_d2_9,pf_d2_10,mo_d1_1,mo_d1_2,mo_d1_3,mo_d1_4,mo_d1_5,mo_d1_6,mo_d1_7,mo_d1_8,mo_d1_9,mo_d1_10,mo_d2_1,mo_d2_2,mo_d2_3,mo_d2_4,mo_d2_5,mo_d2_6,mo_d2_7,mo_d2_8,mo_d2_9,mo_d2_10,az_d1_1,az_d1_2,az_d1_3,az_d1_4,az_d1_5,az_d1_6,az_d1_7,az_d1_8,az_d1_9,az_d1_10,az_d2_1,az_d2_2,az_d2_3,az_d2_4,az_d2_5,az_d2_6,az_d2_7,az_d2_8,az_d2_9,az_d2_10,ja_d1_1,ja_d1_2,ja_d1_3,ja_d1_4,ja_d1_5,ja_d1_6,ja_d1_7,ja_d1_8,ja_d1_9,ja_d1_10,ja_d2_1,ja_d2_2,ja_d2_3,ja_d2_4,ja_d2_5,ja_d2_6,ja_d2_7,ja_d2_8,ja_d2_9,ja_d2_10,cv_d1_1,cv_d1_2,cv_d1_3,cv_d1_4,cv_d1_5,cv_d1_6,cv_d1_7,cv_d1_8,cv_d1_9,cv_d1_10,cv_d2_1,cv_d2_2,cv_d2_3,cv_d2_4,cv_d2_5,cv_d2_6,cv_d2_7,cv_d2_8,cv_d2_9,cv_d2_10,,,,,,,,,,,,,,,,,,
4/20/2021,0.0000,0.0075,0.0427,0.0426,0.0323,0.0306,0.0123,0.7710,0.8562,0.7511,0.0000,0.0065,0.0370,0.0369,0.0343,0.0325,0.0135,0.0051,0.8202,0.7200,0.0000,0.0026,0.0146,0.0163,0.0157,0.0149,0.0056,0.0031,0.0217,0.0882,0.0000,0.0016,0.0097,0.0113,0.0102,0.0096,0.0040,0.0023,0.0202,0.0903,0.0000,0.0069,0.0342,0.0342,0.0332,0.0314,0.3516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0046,0.0045,0.0044,0.0042,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
4/21/2021,0.0000,0.0075,0.0427,0.0426,0.0323,0.0306,0.0123,0.7710,0.8562,0.7511,0.0000,0.0065,0.0370,0.0369,0.0343,0.0325,0.0135,0.0051,0.8202,0.7200,0.0000,0.0026,0.0146,0.0163,0.0157,0.0149,0.0056,0.0031,0.0217,0.0882,0.0000,0.0016,0.0097,0.0113,0.0102,0.0096,0.0040,0.0023,0.0202,0.0903,0.0000,0.0069,0.0342,0.0342,0.0332,0.0314,0.3516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0046,0.0045,0.0044,0.0042,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
4/22/2021,0.0000,0.0075,0.0427,0.0426,0.0323,0.0306,0.0123,0.7710,0.8562,0.7511,0.0000,0.0065,0.0370,0.0369,0.0343,0.0325,0.0135,0.0051,0.8202,0.7200,0.0000,0.0026,0.0146,0.0163,0.0157,0.0149,0.0056,0.0031,0.0217,0.0882,0.0000,0.0016,0.0097,0.0113,0.0102,0.0096,0.0040,0.0023,0.0202,0.0903,0.0000,0.0069,0.0342,0.0342,0.0332,0.0314,0.3516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0046,0.0045,0.0044,0.0042,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
4/23/2021,0.0000,0.0075,0.0427,0.0426,0.0323,0.0306,0.0123,0.7710,0.8562,0.7511,0.0000,0.0065,0.0370,0.0369,0.0343,0.0325,0.0135,0.0051,0.8202,0.7200,0.0000,0.0026,0.0146,0.0163,0.0157,0.0149,0.0056,0.0031,0.0217,0.0882,0.0000,0.0016,0.0097,0.0113,0.0102,0.0096,0.0040,0.0023,0.0202,0.0903,0.0000,0.0069,0.0342,0.0342,0.0332,0.0314,0.3516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0046,0.0045,0.0044,0.0042,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
4/24/2021,0.0000,0.0075,0.0427,0.0426,0.0323,0.0306,0.0123,0.7710,0.8562,0.7511,0.0000,0.0065,0.0370,0.0369,0.0343,0.0325,0.0135,0.0051,0.8202,0.7200,0.0000,0.0026,0.0146,0.0163,0.0157,0.0149,0.0056,0.0031,0.0217,0.0882,0.0000,0.0016,0.0097,0.0113,0.0102,0.0096,0.0040,0.0023,0.0202,0.0903,0.0000,0.0069,0.0342,0.0342,0.0332,0.0314,0.3516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0046,0.0045,0.0044,0.0042,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
4/25/2021,0.0000,0.0075,0.0427,0.0426,0.0323,0.0306,0.0123,0.7710,0.8562,0.7511,0.0000,0.0065,0.0370,0.0369,0.0343,0.0325,0.0135,0.0051,0.8202,0.7200,0.0000,0.0026,0.0146,0.0163,0.0157,0.0149,0.0056,0.0031,0.0217,0.0882,0.0000,0.0016,0.0097,0.0113,0.0102,0.0096,0.0040,0.0023,0.0202,0.0903,0.0000,0.0069,0.0342,0.0342,0.0332,0.0314,0.3516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0046,0.0045,0.0044,0.0042,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
4/26/2021,0.0000,0.0075,0.0427,0.0426,0.0323,0.0306,0.1040,0.8955,0.8562,0.7511,0.0000,0.0065,0.0370,0.0369,0.0343,0.0325,0.0135,0.0418,0.8202,0.7200,0.0000,0.0026,0.0146,0.0163,0.0157,0.0149,0.0056,0.0031,0.0217,0.0882,0.0000,0.0016,0.0101,0.0116,0.0103,0.0097,0.0040,0.0023,0.0202,0.0903,0.0000,0.0069,0.0342,0.0342,0.0332,0.0314,0.3993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0018,0.0087,0.0087,0.0085,0.0080,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
4/27/2021,0.0000,0.0075,0.0427,0.0426,0.0323,0.0306,0.1040,0.8955,0.8562,0.7511,0.0000,0.0065,0.0370,0.0369,0.0343,0.0325,0.0135,0.0418,0.8202,0.7200,0.0000,0.0026,0.0146,0.0163,0.0157,0.0149,0.0056,0.0031,0.0217,0.0882,0.0000,0.0016,0.0101,0.0116,0.0103,0.0097,0.0040,0.0023,0.0202,0.0903,0.0000,0.0069,0.0342,0.0342,0.0332,0.0314,0.3993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0018,0.0087,0.0087,0.0085,0.0080,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
4/28/2021,0.0000,0.0075,0.0427,0.0426,0.0323,0.0306,0.1040,0.8955,0.8562,0.7511,0.0000,0.0065,0.0370,0.0369,0.0343,0.0325,0.0135,0.0418,0.8202,0.7200,0.0000,0.0026,0.0146,0.0163,0.0157,0.0149,0.0056,0.0031,0.0217,0.0882,0.0000,0.0016,0.0101,0.0116,0.0103,0.0097,0.0040,0.0023,0.0202,0.0903,0.0000,0.0069,0.0342,0.0342,0.0332,0.0314,0.3993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0018,0.0087,0.0087,0.0085,0.0080,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
4/29/2021,0.0000,0.0075,0.0427,0.0426,0.0323,0.0306,0.1040,0.8955,0.8562,0.7511,0.0000,0.0065,0.0370,0.0369,0.0343,0.0325,0.0135,0.0418,0.8202,0.7200,0.0000,0.0026,0.0146,0.0163,0.0157,0.0149,0.0056,0.0031,0.0217,0.0882,0.0000,0.0016,0.0101,0.0116,0.0103,0.0097,0.0040,0.0023,0.0202,0.0903,0.0000,0.0069,0.0342,0.0342,0.0332,0.0314,0.3993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0018,0.0087,0.0087,0.0085,0.0080,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
4/30/2021,0.0000,0.0075,0.0427,0.0426,0.0323,0.0306,0.1040,0.8955,0.8562,0.7511,0.0000,0.0065,0.0370,0.0369,0.0343,0.0325,0.0135,0.0418,0.8202,0.7200,0.0000,0.0026,0.0146,0.0163,0.0157,0.0149,0.0056,0.0031,0.0217,0.0882,0.0000,0.0016,0.0101,0.0116,0.0103,0.0097,0.0040,0.0023,0.0202,0.0903,0.0000,0.0069,0.0342,0.0342,0.0332,0.0314,0.3993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0018,0.0087,0.0087,0.0085,0.0080,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
5/1/2021,0.0000,0.0075,0.0427,0.0426,0.0323,0.0306,0.1040,0.8955,0.8562,0.7511,0.0000,0.0065,0.0370,0.0369,0.0343,0.0325,0.0135,0.0418,0.8202,0.7200,0.0000,0.0026,0.0146,0.0163,0.0157,0.0149,0.0056,0.0031,0.0217,0.0882,0.0000,0.0016,0.0101,0.0116,0.0103,0.0097,0.0040,0.0023,0.0202,0.0903,0.0000,0.0069,0.0342,0.0342,0.0332,0.0314,0.3993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0018,0.0087,0.0087,0.0085,0.0080,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
5/2/2021,0.0000,0.0075,0.0427,0.0426,0.0323,0.0306,0.1040,0.8955,0.8562,0.7511,0.0000,0.0065,0.0370,0.0369,0.0343,0.0325,0.0135,0.0418,0.8202,0.7200,0.0000,0.0026,0.0146,0.0163,0.0157,0.0149,0.0056,0.0031,0.0217,0.0882,0.0000,0.0016,0.0101,0.0116,0.0103,0.0097,0.0040,0.0023,0.0202,0.0903,0.0000,0.0069,0.0342,0.0342,0.0332,0.0314,0.3993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0002,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0018,0.0087,0.0087,0.0085,0.0080,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,
