survey	contact_type	part_age	cont_age	m_est
baseline	community	[60,70)	[80,Inf]	0.45232590852715276
baseline	community	[70,80)	[0,10)	0.3127302083424638
baseline	community	[70,80)	[10,20)	0.3952489772698599
baseline	community	[70,80)	[20,30)	0.555789937899572
baseline	community	[70,80)	[30,40)	0.6460020619475498
baseline	community	[70,80)	[40,50)	0.8652912869374592
baseline	community	[70,80)	[50,60)	1.0773295248691979
baseline	community	[70,80)	[60,70)	1.4380604490465143
baseline	community	[70,80)	[70,80)	1.9076586895928331
baseline	community	[70,80)	[80,Inf]	0.868627510614643
baseline	community	[80,Inf]	[0,10)	0.17408648361566473
baseline	community	[80,Inf]	[10,20)	0.2663444541087117
baseline	community	[80,Inf]	[20,30)	0.589876659544964
baseline	community	[80,Inf]	[30,40)	0.6612999656846593
baseline	community	[80,Inf]	[40,50)	0.7703850506010815
baseline	community	[80,Inf]	[50,60)	1.0707818130767062
baseline	community	[80,Inf]	[60,70)	1.2333720518687887
baseline	community	[80,Inf]	[70,80)	1.568209226862575
baseline	community	[80,Inf]	[80,Inf]	1.2276483513684642
baseline	household	[0,10)	[0,10)	0.7311689330100732
baseline	household	[0,10)	[10,20)	0.2595122697175212
baseline	household	[0,10)	[20,30)	0.16481303424049548
baseline	household	[0,10)	[30,40)	0.8697614123780245
baseline	household	[0,10)	[40,50)	0.4951541820334857
baseline	household	[0,10)	[50,60)	0.0467550809465159
baseline	household	[0,10)	[60,70)	0.00595994130274235
baseline	household	[0,10)	[70,80)	0.0015521959487644545
baseline	household	[0,10)	[80,Inf]	4.08348318332606e-4
baseline	household	[10,20)	[0,10)	0.23193297396176685
baseline	household	[10,20)	[10,20)	0.8510588543038649
baseline	household	[10,20)	[20,30)	0.1953590946150188
baseline	household	[10,20)	[30,40)	0.1289718982279085
baseline	household	[10,20)	[40,50)	0.9251177718654645
baseline	household	[10,20)	[50,60)	0.4321509651068858
baseline	household	[10,20)	[60,70)	0.03149037140634793
baseline	household	[10,20)	[70,80)	0.005049427417469527
baseline	household	[10,20)	[80,Inf]	0.001988704164857597
baseline	household	[20,30)	[0,10)	0.13769162162533122
baseline	household	[20,30)	[10,20)	0.18261902749915718
baseline	household	[20,30)	[20,30)	0.5473444296270641
baseline	household	[20,30)	[30,40)	0.09684681927396395
baseline	household	[20,30)	[40,50)	0.10530082791484814
baseline	household	[20,30)	[50,60)	0.3866431827585523
baseline	household	[20,30)	[60,70)	0.09422047567178926
baseline	household	[20,30)	[70,80)	0.007664737093654244
baseline	household	[20,30)	[80,Inf]	0.0020975001705477764
baseline	household	[30,40)	[0,10)	0.764236279063339
baseline	household	[30,40)	[10,20)	0.12679983722709612
baseline	household	[30,40)	[20,30)	0.10185542374147755
baseline	household	[30,40)	[30,40)	0.5006211528502214
baseline	household	[30,40)	[40,50)	0.13676469943614294
baseline	household	[30,40)	[50,60)	0.03564543451418348
baseline	household	[30,40)	[60,70)	0.03616763629930307
baseline	household	[30,40)	[70,80)	0.006177366882079824
baseline	household	[30,40)	[80,Inf]	0.0027204644777010433
baseline	household	[40,50)	[0,10)	0.37854679591830886
baseline	household	[40,50)	[10,20)	0.791367533534707
baseline	household	[40,50)	[20,30)	0.09635902586607181
baseline	household	[40,50)	[30,40)	0.11899500295567972
baseline	household	[40,50)	[40,50)	0.4556989313803022
baseline	household	[40,50)	[50,60)	0.12064540713926183
baseline	household	[40,50)	[60,70)	0.016888706320332576
baseline	household	[40,50)	[70,80)	0.009134954361826719
baseline	household	[40,50)	[80,Inf]	0.0032804129572692096
baseline	household	[50,60)	[0,10)	0.03405706756113142
baseline	household	[50,60)	[10,20)	0.35220556403192604
baseline	household	[50,60)	[20,30)	0.33710103439372363
baseline	household	[50,60)	[30,40)	0.0295513995464339
baseline	household	[50,60)	[40,50)	0.11494544831113161
baseline	household	[50,60)	[50,60)	0.4702013242920733
baseline	household	[50,60)	[60,70)	0.1112840463466387
baseline	household	[50,60)	[70,80)	0.008277932786770213
baseline	household	[50,60)	[80,Inf]	0.0036754652388217572
baseline	household	[60,70)	[0,10)	0.005151868071161212
baseline	household	[60,70)	[10,20)	0.03046072728110253
baseline	household	[60,70)	[20,30)	0.09749728849744073
baseline	household	[60,70)	[30,40)	0.03558443192699605
baseline	household	[60,70)	[40,50)	0.019096889475302286
baseline	household	[60,70)	[50,60)	0.1320679100195828
baseline	household	[60,70)	[60,70)	0.5713835530988703
baseline	household	[60,70)	[70,80)	0.08514348974330561
baseline	household	[60,70)	[80,Inf]	0.0064820273171241494
baseline	household	[70,80)	[0,10)	0.0020266583731168696
baseline	household	[70,80)	[10,20)	0.00737700674655649
baseline	household	[70,80)	[20,30)	0.011978769061539406
baseline	household	[70,80)	[30,40)	0.009179735181018878
baseline	household	[70,80)	[40,50)	0.015601893564701562
baseline	household	[70,80)	[50,60)	0.014838218511450509
baseline	household	[70,80)	[60,70)	0.12860284689001703
baseline	household	[70,80)	[70,80)	0.5200671322256329
baseline	household	[70,80)	[80,Inf]	0.0830399685646751
baseline	household	[80,Inf]	[0,10)	9.625154295607842e-4
baseline	household	[80,Inf]	[10,20)	0.005245069825825526
baseline	household	[80,Inf]	[20,30)	0.005917859814408403
baseline	household	[80,Inf]	[30,40)	0.007298064006607916
baseline	household	[80,Inf]	[40,50)	0.010114418410988823
baseline	household	[80,Inf]	[50,60)	0.011893867146727275
baseline	household	[80,Inf]	[60,70)	0.017674880769091253
baseline	household	[80,Inf]	[70,80)	0.14992416896172248
baseline	household	[80,Inf]	[80,Inf]	0.26836421850472525
April 2020	all	[0,10)	[0,10)	1.2160607504380367
April 2020	all	[0,10)	[10,20)	0.9918366464270467
April 2020	all	[0,10)	[20,30)	0.8970448728086254
April 2020	all	[0,10)	[30,40)	0.8186032145404514
April 2020	all	[0,10)	[40,50)	0.7226901518642372
April 2020	all	[0,10)	[50,60)	0.5246999850126445
